iter	Passed	Remaining
0	69	69430
1	78	39050
2	86	28729
3	94	23457
4	101	20172
5	109	18081
6	116	16554
7	124	15395
8	131	14526
9	139	13844
10	147	13256
11	157	12990
12	171	13040
13	180	12735
14	188	12406
15	197	12133
16	207	12007
17	215	11743
18	223	11515
19	230	11309
20	238	11106
21	245	10925
22	253	10780
23	261	10641
24	269	10494
25	279	10456
26	286	10329
27	292	10158
28	303	10156
29	314	10165
30	322	10068
31	330	9989
32	339	9938
33	347	9859
34	356	9816
35	364	9753
36	372	9702
37	380	9624
38	388	9574
39	397	9533
40	406	9513
41	414	9446
42	424	9449
43	432	9399
44	441	9369
45	450	9332
46	458	9296
47	467	9266
48	476	9240
49	485	9224
50	494	9198
51	502	9160
52	510	9126
53	519	9105
54	527	9071
55	538	9071
56	546	9033
57	555	9022
58	563	8993
59	572	8975
60	580	8932
61	588	8908
62	596	8878
63	605	8854
64	612	8812
65	622	8814
66	633	8819
67	641	8792
68	651	8792
69	659	8766
70	668	8749
71	676	8719
72	686	8717
73	695	8699
74	703	8673
75	712	8664
76	720	8637
77	729	8623
78	737	8597
79	744	8566
80	753	8545
81	761	8519
82	769	8498
83	776	8468
84	783	8437
85	791	8413
86	799	8385
87	806	8359
88	813	8331
89	821	8305
90	829	8283
91	836	8259
92	844	8236
93	851	8211
94	859	8189
95	866	8161
96	874	8139
97	882	8124
98	891	8114
99	899	8095
100	908	8082
101	916	8071
102	925	8060
103	934	8052
104	943	8038
105	950	8020
106	960	8013
107	968	7997
108	979	8006
109	987	7987
110	997	7986
111	1006	7980
112	1015	7972
113	1025	7969
114	1034	7958
115	1044	7963
116	1052	7942
117	1062	7943
118	1072	7937
119	1082	7936
120	1094	7947
121	1109	7982
122	1123	8010
123	1133	8008
124	1146	8025
125	1155	8014
126	1163	7997
127	1171	7981
128	1179	7967
129	1188	7951
130	1195	7932
131	1203	7912
132	1210	7893
133	1218	7873
134	1225	7855
135	1233	7835
136	1240	7814
137	1248	7796
138	1257	7787
